"Time","{pod=""adservice-5f85fdddc7-fj6t4""}"
1781249595000,0.0023475064160366375
1781249610000,0.0027935225157027003
1781249625000,0.002456030985721837
1781249640000,0.0027736769648135395
1781249655000,0.0020694495462035443
1781249670000,0.002590257380936813
1781249685000,0.0028566449015661162
1781249700000,0.0031268946511336685
1781249715000,0.006511543404085603
1781249730000,0.007865259599549241
1781249745000,0.012585320770028415
1781249760000,0.011185385368344897
1781249775000,0.010652100598408392
1781249790000,0.007707617283661148
1781249805000,0.005601953865725736
1781249820000,0.003565685725365153
1781249835000,0.002891331314005519
1781249850000,0.002539520229935915
1781249865000,0.004003592549604812
1781249880000,0.0037908480855069243
1781249895000,0.003468765223908574
1781249910000,0.002669068419333768
1781249925000,0.002681548905993252
1781249940000,0.0023499081019323353
1781249955000,0.002026048385271688
1781249970000,0.002471243347648327
1781249985000,0.0025245076232458252
1781250000000,0.002657745689923424
1781250015000,0.0021647378552824997
1781250030000,0.002180582716538359
1781250045000,0.002052437788815601
1781250060000,0.0024968797581008265
1781250075000,0.0019112003719243252
1781250090000,0.002666443346453385
1781250105000,0.0023100061068161834
1781250120000,0.0051439000438132385
1781250135000,0.004775502417994839
1781250150000,0.0019676113360324516
1781250165000,0.0025307444106272736
1781250180000,0.002446975635012527
1781250195000,0.002537656767821162
1781250210000,0.0022155990510082835
1781250225000,0.0019152051936218778
1781250240000,0.002352359729055864
1781250255000,0.0021443110595909536
1781250270000,0.002117748001880559
1781250285000,0.0020922025780094515
1781250300000,0.0023442270945373558

